"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"FIX","FIX","FIXED",1
"STE","STE","STEPPED",2
"FLO","FLO","FLOATING",3
"ZER","ZER","ZERO COUPON",4
"IDX","IDX","INDEX-LINKED",5
"OTH","OTH","OTHER",6
"CRE","CRE","CREDIT-LINKED",7
