"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"LIGHT","Light green fund","
Οι συμμορφούμενοι με το άρθρο 8 του κανονισμού γνωστοποιήσεων αειφορίας
χρηματοπιστωτικών υπηρεσιών (SFDR) ΕΟ συμμορφώνονται με το άρθρο 8 του
κανονισμού (ΕΕ) 2019/2088, προωθώντας, κατ’ αυτόν τον τρόπο, περιβαλλοντικά ή
κοινωνικά χαρακτηριστικά.
            ",1
"DARK","Dark green fund","
Οι συμμορφούμενοι με το άρθρο 9 του κανονισμού γνωστοποιήσεων αειφορίας
χρηματοπιστωτικών υπηρεσιών (SFDR) ΕΟ συμμορφώνονται με το άρθρο 9 του
κανονισμού (ΕΕ) 2019/2088, έχοντας, κατ’ αυτόν τον τρόπο, ως στόχο τους
αειφόρες επενδύσεις.
            ",2
"OTHER","Other fund","
Οι λοιποί ΕΟ δεν συμμορφώνονται με το άρθρο 8 ούτε με το άρθρο 9 του
κανονισμού (ΕΕ) 2019/2088.
            ",3
