"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"DIS","Αμοιβαίο κεφάλαιο διανομής μερισμάτων","
            Ως αμοιβαίο κεφάλαιο διανομής μερισμάτων (distribution fund)
            νοείται ο ΕΟ ο οποίος κατά κύριο λόγο (άνω του 50 %) καταβάλλει
            στους μετόχους του σε μετρητά το εισόδημα που εισπράττει.
            ",1
"CUM","Αμοιβαίο κεφάλαιο συσσώρευσης","
            Ως αμοιβαίο κεφάλαιο συσσώρευσης (cumulative fund) νοείται ο ΕΟ ο
            οποίος κατά κύριο λόγο (άνω του 50 %) επανεπενδύει το εισόδημα που
            εισπράττει σύμφωνα με το επενδυτικό προϊόν του.
            ",2
"MIX","Μεικτό αμοιβαίο κεφάλαιο διανομής μερισμάτων","
            Ως μεικτό αμοιβαίο κεφάλαιο διανομής μερισμάτων (mixed dividend
            distribution fund) νοείται ο ΕΟ ο οποίος χρησιμοποιεί το εισόδημα
            που εισπράττει για να το καταβάλει στους μετόχους του σε μετρητά
            και για να το επανεπενδύσει σύμφωνα με το επενδυτικό προϊόν του.
            ",3
