"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"LIGHT","Light green fund","
            Sustainable Finance Disclosure Regulation (SFDR) Article 8 fund is
            an investment fund compliant with Regulation (EU) 2019/2088 Article
            8, thereby promoting environmental or social characteristics
            (sometimes called light-green funds).
            "
"DARK","Dark green fund","
            Sustainable Finance Disclosure Regulation (SFDR) Article 9 fund is
            an investment fund compliant with Regulation (EU) 2019/2088 Article
            9, thereby having sustainable investment as its objective
            (dark-green funds).
            "
