"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"ACTIVE","Active","
            Active investment funds are investment funds whose managers have
            discretionary choice on its investment decisions. These investment
            funds may, but do not have to, be managed in reference to a stated
            benchmark.
            "
"SYNPAS","Passive synthetic","
            Passive synthetic investment funds pursue an index-tracking
            objective by means of synthetic replication, using financial
            derivatives such as swaps to replicate the returns of the index it
            is tracking.
            "
"SYNPHY","Passive physical","
            Passive physical investment funds pursue an index-tracking
            objective by means of physical replication, holding the assets, or
            a sample of the assets, underlying the index it is tracking.
            "
