"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"2100","Public sector covered bond","Public sector covered bond"
"2200","Mortgage covered bond","Mortgage covered bond"
"2300","Ship covered bond","Ship covered bond"
"2400","Aircraft covered bond","Aircraft covered bond"
"2500","Mixed covered bond","Mixed covered bond"
"2800","Other covered bond","Other covered bond"
"2900","No detailed classification available","No detailed classification available"
