"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"OFFICE","Office","Office"
"SHOP","Shop","Shop"
"WAREHOUSE","Warehouse","Warehouse"
"INDUSTRIAL","Industrial space","Industrial space"
"RESTAURANT","Restaurant, recreational space","Restaurant, recreational space"
"TOURISM","Tourism space","Tourism space"
"OTHER","Other","Other"
