"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"ABS","Asset-backed security","Asset-backed security"
"MBS","Mortgage-backed security","Mortgage-backed security"
"CDO","Collateralised Debt Obligation","Collateralised Debt Obligation"
"CMO","Collateralised Mortgage Obligation","Collateralised Mortgage Obligation"
"MIX","Mixed securitisation","Mixed securitisation"
"OTHER","Other securitisation","Other securitisation"
"NOINFO","No detailed classification available","No detailed classification available"
