"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"PUBLIC","Public sector covered bond","Public sector covered bond"
"MORTGAGE","Mortgage covered bond","Mortgage covered bond"
"SHIP","Ship covered bond","Ship covered bond"
"AIRCRAFT","Aircraft covered bond","Aircraft covered bond"
"MIX","Mixed covered bond","Mixed covered bond"
"OTHER","Other covered bond","Other covered bond"
"NOINFO","No detailed classification available","No detailed classification available"
