"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"BND","Bond","Bond"
"MNY","Money market instrument","Money market instrument"
"HBRD","Hybrid debt instrument","Hybrid debt instrument"
"OTHR","Other debt","Other debt"
