"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"AN","Annual","Annual"
"SA","Semi-annual","Semi-annual"
"QA","Quarterly","Quarterly"
"BM","Bi-monthly","Bi-monthly"
"MO","Monthly","Monthly"
"WE","Weekly","Weekly"
"DA","Daily","Daily"
