"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"RA1","Accrued interest receivable on deposits, loans, debt securities and accrued rent receivable","Accrued interest receivable on deposits, loans, debt securities and accrued rent receivable"
"RA2","Other remaining assets not due to accrued interest or accured rent","Other remaining assets not due to accrued interest or accured rent"
