"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"0","not applicable","not applicable"
"1","Public","Public"
"2","National private","National private"
"3","Foreign controlled","Foreign controlled"
"-4","Unspecified","Unspecified"
