"ID","NAME","DESCRIPTION"
"F511","Listed shares","Listed shares"
"F512","Unlisted shares","Unlisted shares"
"F519","Other equity","Other equity"
"F521","Money market fund shares/units","Money market fund shares/units"
"F522","Non-MMF investment fund shares/units","Non-MMF investment fund shares/units"
