"ID","NAME","DESCRIPTION","IID"
"CGCM","CGCM","CASSA DI COMPENSAZIONE E GARANZIA SPA - COLLATERALIZED MONEY MARKET GUARANTEE SERVICE",375
"CGDB","CGDB","CASSA DI COMPENSAZIONE E GARANZIA SPA - BONDS CCP SERVICE",376
"CGEB","CGEB","CASSA DI COMPENSAZIONE E GARANZIA SPA - EURO BONDS CCP SERVICE",377
"CGEC","CGEC","CITIGROUP GLOBAL MARKETS  EUROPE AG - EMEA LIQUIDITY HUB",378
"CGEE","CGEE","CITI MATCH DE CONTRA LIQUIDITY",379
"CGET","CGET","CITIGROUP GLOBAL MARKETS  EUROPE AG - EMEA TRADING",380
"CGGD","CGGD","CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP AGRICULTURAL COMMODITY DERIVATIVES",381
"CGIT","CGIT","CASSA DI COMPENSAZIONE E GARANZIA SPA",382
"CGMA","CGMA","CITI MATCH AUSTRALIA",383
"CGMC","CGMC","CITIGROUP GLOBAL MARKETS  LIMITED - EMEA LIQUIDITY HUB",384
"CGMD","CGMD","CITIGROUP GLOBAL MARKETS EUROPE AG - SYSTEMATIC INTERNALISER",385
"CGME","CGME","CITI MATCH - GB",386
"CGMG","CGMG","CITIGROUP GLOBAL MARKETS EUROPE AG - LONDON BRANCH - SYSTEMATIC INTERNALISER",387
"CGMH","CGMH","CITI MATCH - HK",388
"CGMI","CGMI","CITIGROUP GLOBAL MARKETS",389
"CGML","CGML","CITIGROUP GLOBAL MARKETS LIMITED",390
"CGMT","CGMT","CITIGROUP GLOBAL MARKETS  LIMITED - EMEA TRADING",391
"CGMU","CGMU","CITI MATCH GB CONTRA LIQUIDITY",392
"CGMX","CGMX","CITI MEXICO RPI (RETAIL PRICE IMPROVEMENT)",393
"CGND","CGND","CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP ENERGY DERIVATIVES",394
"CGQD","CGQD","CASSA DI COMPENSAZIONE E GARANZIA SPA - CCP EQUITY DERIVATIVES",395
"CGQT","CGQT","CASSA DI COMPENSAZIONE E GARANZIA SPA - EQUITY CCP SERVICE",396
"CGTR","CGTR","CASSA DI COMPENSAZIONE E GARANZIA SPA - TRIPARTY REPO CCP SERVICE",397
"CGXS","CGXS","ONECHRONOS",398
"CHEV","CHEV","CA CHEUVREUX",399
"CHIA","CHIA","CBOE AUSTRALIA",400
"CHIC","CHIC","CHI-X CANADA ATS",401
"CHID","CHID","CBOE EUROPE - CXE DARK ORDER BOOK",402
"CHIE","CHIE","CHI-EAST",403
"CHIJ","CHIJ","CHI-X JAPAN",404
"CHIO","CHIO","CBOE EUROPE - CXE OFF-BOOK",405
"CHIS","CHIS","CHI-X JAPAN SELECT",406
"CHIV","CHIV","CHI-X JAPAN VWAP CROSSING",407
"CHIX","CHIX","CBOE EUROPE - CXE ORDER BOOKS",408
"CHIY","CHIY","BATS CHI-X EUROPE LIMITED - CHI-CLEAR",409
"CIBC","CIBC","CANADIAN IMPERIAL BANK OF COMMERCE - SYSTEMATIC INTERNALISER",410
"CIBH","CIBH","CIB BANK - SYSTEMATIC INTERNALISER",411
"CIBP","CIBP","CIBC WORLD MARKETS PLC - SYSTEMATIC INTERNALISER",412
"CICX","CICX","CITI CROSS",413
"CILH","CILH","LIQUIDITY HUB JAPAN",414
"CIMA","CIMA","CIMD S.V. S.A. - APPROVED PUBLICATION ARRANGEMENT",415
"CIMB","CIMB","CIMD S.V. S.A. - OTF FOR BONDS",416
"CIMD","CIMD","CIMD S.V. S.A. - OTF",417
"CIME","CIME","CIMD S.V. S.A. - OTF FOR ENERGY DERIVATIVES",418
"CIMV","CIMV","CIMD S.V. S.A. - OTF FOR DERIVATIVES",419
"CIOI","CIOI","CIOI",420
"CISD","CISD","NYSE NATIONAL, INC. - DARK",421
"CITD","CITD","CITI DARK",422
"CITX","CITX","CITI MATCH - JP",423
"CLAU","CLAU","CLSA AUSTRALIA - DARK",424
"CLCH","CLCH","LCH LTD - CROSS NETTING",425
"CLHK","CLHK","CLSA HONG KONG - DARK",426
"CLJP","CLJP","CLSA JAPAN - DARK",427
"CLMX","CLMX","CLIMEX",428
"CLPH","CLPH","CLSA PHILIPPINES - DARK",429
"CLST","CLST","CLEAR STREET",430
"CLTD","CLTD","CLEARTRADE EXCHANGE",431
"CLVE","CLVE","VERTO MTF",432
"CMAP","CMAP","CAPI - APPROVED PUBLICATION ARRANGEMENT",433
"CMCI","CMCI","CREDIT INDUSTRIEL ET COMMERCIAL - SYSTEMATIC INTERNALISER",434
"CMCM","CMCM","CMC MARKETS UK PLC - SYSTEMATIC INTERNALISER",435
"CMEC","CMEC","CME CLEARING EUROPE",436
"CMED","CMED","CME EUROPE - DERIVATIVES",437
"CMEE","CMEE","CME  EUROPE",438
"CMES","CMES","CME SWAPS MARKETS (CME)",439
"CMET","CMET","CLEAR MARKETS JAPAN, INC.",440
"CMMT","CMMT","CLEAR MARKETS EUROPE LIMITED",441
"CMSF","CMSF","CLEAR MARKETS NORTH AMERICA, INC.",442
"CMTS","CMTS","EUROCREDIT MTS",443
"CNOD","CNOD","CNODE",444
"CNSI","CNSI","CARNEGIE AS - SYSTEMATIC INTERNALISER",445
"COAL","COAL","LA COTE ALPHA",446
"CODA","CODA","CODA MARKETS - MICRO AND BLOCK",447
"COHR","COHR","COMHAR CAPITAL MARKETS, LLC",448
"COMG","COMG","COMMERG LTD.",449
"COMM","COMM","COMMERG",450
"CONC","CONC","CONCORDE SECURITIES LTD. - SYSTEMATIC INTERNALISER",451
"CONE","CONE","CBOE OPTIONS EXCHANGE",452
"CORE","CORE","CITIGROUP AGENCY OPTION AND EQUITIES ROUTING ENGINE",453
"COTC","COTC","BMO CAPITAL MARKETS - CAD OTC TRADES",454
"CPGX","CPGX","CLEARPOOL EXECUTION SERVICES, LLC",455
"CPTX","CPTX","CAPTIN",456
"CRDL","CRDL","COREDEAL MTS",457
"CRED","CRED","CREDIT SUISSE (US)",458
"CREM","CREM","CREDEM BANCA - SYSTEMATIC INTERNALISER",459
"CRYD","CRYD","CRYEX - FX AND DIGITAL CURRENCIES",460
"CRYP","CRYP","CRYPTO FACILITIES",461
"CRYX","CRYX","CRYEX",462
"CSAG","CSAG","CREDIT SUISSE AG",463
"CSAS","CSAS","CESKA SPORITELNA, A.S. - SYSTEMATIC INTERNALISER",464
"CSAU","CSAU","CREDIT SUISSE EQUITIES (AUSTRALIA) LIMITED",465
"CSBX","CSBX","CREDIT SUISSE AES EUROPE BENCHMARK CROSS",466
"CSCF","CSCF","CREDIT SUISSE AES CROSSFINDER EUROPE",467
"CSCL","CSCL","CREDIT SUISSE CLOSEX",468
"CSDA","CSDA","CREDIT SUISSE AKTIENGESELLSCHAFT",469
"CSE2","CSE2","CANADIAN SECURITIES EXCHANGE - CSE2",470
"CSEC","CSEC","CITADEL SECURITIES FI - SYSTEMATIC INTERNALISER",471
"CSEU","CSEU","CREDIT SUISSE (EUROPE)",472
"CSFB","CSFB","CREDIT SUISSE (EUROPE)",473
"CSGI","CSGI","CITADEL SECURITIES FI - EUROPE - SYSTEMATIC INTERNALISER",474
"CSHK","CSHK","CREDIT SUISSE SECURITIES (HONG KONG) LIMITED",475
"CSIN","CSIN","CREDIT SUISSE INTERNATIONAL",476
"CSJP","CSJP","CREDIT SUISSE EQUITIES (JAPAN) LIMITED",477
"CSLB","CSLB","CREDIT SUISSE AG - LONDON BRANCH",478
"CSLP","CSLP","CREDIT SUISSE LIGHT POOL",479
"CSMD","CSMD","CREDIT SUISSE BANK (EUROPE), S.A.",480
"CSOB","CSOB","ČESKOSLOVENSKÁ OBCHODNÍ BANKA, A.S.",481
"CSOT","CSOT","CREDIT SUISSE AG - OHS",482
"CSSI","CSSI","CREDIT SUISSE INTERNATIONAL - SYSTEMATIC INTERNALISER",483
"CSSX","CSSX","CHINA STAINLESS STEEL EXCHANGE",484
"CSTO","CSTO","NASDAQ CLEARING AB",485
"CSVW","CSVW","CREDIT SUISSE VWAPX",486
"CSZH","CSZH","CREDIT SUISSE (CH)",487
"CTWO","CTWO","CBOE C2 OPTIONS EXCHANGE",488
"CURX","CURX","CUREX FX",489
"CXAB","CXAB","CBOE AUSTRALIA - BIDS BLOCK TRADE VENUE",490
"CXAC","CXAC","CBOE AUSTRALIA - LIMIT VENUE",491
"CXAF","CXAF","CBOE AUSTRALIA MARKET PEG (FARPOINT) VENUE",492
"CXAM","CXAM","CBOE AUSTRALIA MOC",493
"CXAN","CXAN","CBOE AUSTRALIA PRIMARY PEG (NEARPOINT) VENUE",494
"CXAP","CXAP","CBOE AUSTRALIA MID-POINT VENUE",495
"CXAQ","CXAQ","CBOE AUSTRALIA - QUOTED MANAGED FUNDS",496
"CXAR","CXAR","CBOE AUSTRALIA - TRANSFERABLE CUSTODY RECEIPT MARKET",497
"CXAV","CXAV","CBOE AUSTRALIA VWAP",498
"CXAW","CXAW","CBOE AUSTRALIA - WARRANTS",499
"CXAI","CXAI","CBOE AUSTRALIA - BIDS PRICE IMPROVEMENT VENUE",500
"CXOT","CXOT","CREDITEX BROKERAGE LLP - OTF",501
"CXRT","CXRT","CREDITEX BROKERAGE LLP - MTF",502
"DAIW","DAIW","DAIWA CAPITAL MARKETS EUROPE LIMITED",503
"DAMP","DAMP","GXG MARKETS A/S",504
"DAPA","DAPA","DEUTSCHE BOERSE AG - APA SERVICE",505
"DASH","DASH","DASH ATS",506
"DASI","DASI","DANSKE BANK A/S - SYSTEMATIC INTERNALISER",507
"DAUK","DAUK","DANSKE BANK A/S - LONDON BRANCH - SYSTEMATIC INTERNALISER",508
"DAVY","DAVY","J AND E DAVY - IRISH GOVERNMENT BOND - SYSTEMATIC INTERNALISER",509
"DBAB","DBAB","DEUTSCHE BANK SECURITIES INC.",510
"DBAG","DBAG","DEUTSCHE BANK AG",511
"DBCR","DBCR","DEUTSCHE BANK - CENTRAL RISK BOOK",512
"DBCX","DBCX","DEUTSCHE BANK - CLOSE CROSS",513
"DBDC","DBDC","DEUTSCHE BANK - DIRECT CAPITAL ACCESS",514
"DBDX","DBDX","DEUTSCHE BOERSE DIGITAL EXCHANGE",515
"DBES","DBES","DEUTSCHE BANK AG - SYSTEMATIC INTERNALISER",516
"DBHK","DBHK","DEUTSCHE BANK HONG KONG ATS",517
"DBIX","DBIX","DEUTSCHE BANK AG - LONDON",518
"DBLN","DBLN","DEUTSCHE BANK AG - LONDON - SYSTEMATIC INTERNALISER",519
"DBLX","DBLX","DEUTSCHE BANK LUXEMBOURG S.A.",520
"DBMO","DBMO","DEUTSCHE BANK - MANUAL OTC",521
"DBOX","DBOX","DEUTSCHE BANK OFF EXCHANGE TRADING",522
"DBSE","DBSE","DEUTSCHE BANK - SUPERX EU",523
"DBSX","DBSX","DEUTSCHE BANK SUPER X",524
"DBVX","DBVX","DBV-X",525
"DCSE","DCSE","NASDAQ COPENHAGEN A/S - NORDIC@MID",526
"DCSX","DCSX","DUTCH CARIBBEAN SECURITIES EXCHANGE",527
"DDTX","DDTX","DEAL DONE TRADING - SYSTEMATIC INTERNALISER",528
"DEAL","DEAL","DCX (DERIVATIVES CURRENCY EXCHANGE)",529
"DEKA","DEKA","DEKABANK DEUTSCHE GIROZENTRALE",530
"DEXE","DEXE","DEX LIMITED",531
"DGCX","DGCX","DUBAI GOLD & COMMODITIES EXCHANGE DMCC",532
"DHEL","DHEL","NASDAQ HELSINKI LTD - NORDIC@MID",533
"DHLX","DHLX","DEUTSCHE HOLDINGS (LUXEMBOURG) S.A R.L.",534
"DICE","DICE","NASDAQ ICELAND HF. - NORDIC@MID",535
"DIFX","DIFX","NASDAQ DUBAI",536
"DKED","DKED","NASDAQ STOCKHOLM AB - DANISH EQ DERIVATIVES",537
"DKFI","DKFI","NASDAQ STOCKHOLM AB - DANISH FI DERIVATIVES",538
"DKOB","DKOB","NASDAQ STOCKHOLM AB - OTC DKK WB EQ DERIVATIVES",539
"DKTC","DKTC","DANSK OTC",540
"DKWB","DKWB","NASDAQ STOCKHOLM AB - DKK WB EQ DERIVATIVES",541
"DNDK","DNDK","FIRST NORTH DENMARK - NORDIC@MID",542
"DNFI","DNFI","FIRST NORTH FINLAND - NORDIC@MID",543
"DNIS","DNIS","FIRST NORTH ICELAND - NORDIC@MID",544
"DNSE","DNSE","FIRST NORTH SWEDEN - NORDIC@MID",545
"DOSE","DOSE","FIRST NORTH SWEDEN - NORWAY NORDIC@MID",546
"DOTS","DOTS","SWISS DOTS BY CATS",547
"DOWE","DOWE","DOWGATE EURO GOVERNMENT BONDS",548
"DOWG","DOWG","DOWGATE",549
"DOWM","DOWM","DOWGATE - MTF (MADRID)",550
"DRCT","DRCT","DAIWA DRECT",551
"DRSP","DRSP","EURONEXT  UK - REPORTING SERVICES",552
"DSMD","DSMD","QATAR EXCHANGE",553
"DSME","DSME","FIRST NORTH DENMARK -SME GROWTH MARKET",554
"DSTO","DSTO","NASDAQ STOCKHOLM AB - NORDIC@MID",555
"DUMX","DUMX","DUBAI MERCANTILE EXCHANGE",556
"DUSA","DUSA","BOERSE DUESSELDORF - REGULIERTER MARKT",557
"DUSB","DUSB","BOERSE DUESSELDORF - FREIVERKEHR",558
"DUSC","DUSC","BOERSE DUESSELDORF - QUOTRIX - REGULIERTER MARKT",559
"DUSD","DUSD","BOERSE DUESSELDORF - QUOTRIX MTF",560
"DVFX","DVFX","DIGITAL VEGA",561
"DWFI","DWFI","DEALERWEB FIXED INCOME",562
"DWSF","DWSF","DW SEF LLC",563
"DZBK","DZBK","DZ BANK - SYSTEMATIC INTERNALISER",564
"EACM","EACM","MTS REPO - AGENCY CASH MANAGEMENT",565
"EBHU","EBHU","ERSTE BANK HUNGARY ZRT. - SYSTEMATIC INTERNALISER",566
"EBLX","EBLX","BLOCKMATCH EUROPE DARK",567
"EBMX","EBMX","EBM - MTF",568
"EBON","EBON","NASDAQ STOCKHOLM AB - EUR FI DERIVATIVES",569
"EBRA","EBRA","BRATISLAVA STOCK EXCHANGE - MTF",570
"EBSC","EBSC","EBS MARKET- CLOB - FOR THE TRADING OF SPOT FX, PRECIOUS METALS AND OTHER FX PRODUCTS",571
"EBSD","EBSD","EBS MTF - RFQ - FOR THE TRADING OF FX PRODUCTS",572
"EBSF","EBSF","EBS MTF - FX PRODUCTS - RFQ SEGMENT",573
"EBSI","EBSI","EBS MTF - RFQ - FOR ASSET MANAGERS TRADING FX PRODUCTS",574
"EBSM","EBSM","EBS MTF - CLOB - FOR THE TRADING OF FX PRODUCTS",575
"EBSN","EBSN","EBS MTF",576
"EBSO","EBSO","NEX SEF - RFQ - FX PRODUCTS FOR ASSET MANAGERS",577
"EBSS","EBSS","EBS SERVICE COMPANY LIMITED - ALL MARKETS",578
"EBSX","EBSX","EBS MTF",579
"EBXV","EBXV","LEVEL ATS - VWAP CROSS",580
"ECAG","ECAG","EUREX CLEARING AG",581
"ECAL","ECAL","EUREX CLEARING ASIA PTE. LTD.",582
"ECEU","ECEU","TRADECHO EU APA",583
"ECGS","ECGS","EUREX CLEARING AG - SME",584
"ECHO","ECHO","LONDON STOCK EXCHANGE - APA",585
"ECNL","ECNL","REFINITIV TRANSACTION SERVICES LIMITED - FX SPOT ECN",586
"ECSL","ECSL","ENTERPRISE COMMODITY SERVICES LIMITED",587
"ECXE","ECXE","EUROPEAN CLIMATE EXCHANGE",588
"EDBT","EDBT","EURONEXT DUBLIN - TRADED BONDS",589
"EDDP","EDDP","CBOE EDGX U.S. EQUITIES EXCHANGE DARK",590
"EDGA","EDGA","CBOE EDGA U.S. EQUITIES EXCHANGE",591
"EDGD","EDGD","CBOE EDGA U.S. EQUITIES EXCHANGE DARK",592
"EDGE","EDGE","BATS DIRECT EDGE",593
"EDGL","EDGL","GLOBAL EXCHANGE MARKET - TRADED BONDS",594
"EDGO","EDGO","CBOE EDGX OPTIONS EXCHANGE",595
"EDGX","EDGX","CBOE EDGX U.S. EQUITIES EXCHANGE",596
"EDRF","EDRF","EDMOND DE ROTHSCHILD  (FRANCE) - SYSTEMATIC INTERNALISER",597
"EEAL","EEAL","EUREX EXCHANGE ASIA PTE. LTD.",598
"EESE","EESE","EAST EUROPEAN STOCK EXCHANGE",599
"EFTP","EFTP","ENERGIEFINANZ TRADING PLATFORM",600
"EGMT","EGMT","EG MARKET TECHNOLOGIES",601
"EGSI","EGSI","ERSTE GROUP BANK AG",602
"EIXE","EIXE","AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET",603
"ELEU","ELEU","NASDAQ OSLO ASA - EUROPEAN POWER AND GAS DERIVATIVES",604
"ELIX","ELIX","ELIXIUM",605
"ELNO","ELNO","NASDAQ OSLO ASA - NORDIC POWER DERIVATIVES AND EUROPEAN UNION ALLOWANCES",606
"ELSE","ELSE","NASDAQ OSLO ASA - SWEDISH ELECTRICITY CERTIFICATE",607
"ELUK","ELUK","NASDAQ COMMODITIES - GBP POWER/ENERGY",608
"ELXE","ELXE","ELIXIUM S.A.",609
"EMBX","EMBX","EMERGING MARKETS BOND EXCHANGE LIMITED",610
"EMCE","EMCE","ROMANIAN  COMMODITIES EXCHANGE - OTF",611
"EMCH","EMCH","FINACOR EMATCH",612
"EMDR","EMDR","E-MID - E-MIDER MARKET",613
"EMIB","EMIB","E-MID - BANCA D'ITALIA SHARES TRADING MARKET",614
"EMID","EMID","E-MID",615
"EMIR","EMIR","E-MID REPO",616
"EMLD","EMLD","MIAX EMERALD, LLC",617
"EMTF","EMTF","EURO MTF",618
"EMTS","EMTS","EBM",619
"ENAX","ENAX","ATHENS EXCHANGE ALTERNATIVE MARKET",620
"ENCL","ENCL","ENCLEAR",621
"ENMS","ENMS","EURONEXT MARKETS SINGAPORE PTE. LTD.",622
"ENSL","ENSL","ENGNSOL - OMP",623
"ENSX","ENSX","SEB ENSKILDA",624
"ENSY","ENSY","EURONEXT SYNAPSE",625
"ENTW","ENTW","BLOCKMATCH EUROPE NT",626
"ENXB","ENXB","EURONEXT - EASY NEXT",627
"ENXL","ENXL","EURONEXT ACCESS LISBON",628
"EOTC","EOTC","E-OTC",629
"EPEX","EPEX","EPEX SPOT SE",630
"EPRD","EPRD","MIAX PEARL EQUITIES EXCHANGE DARK",631
"EPRL","EPRL","MIAX PEARL EQUITIES",632
"EQCA","EQCA","EQUILEND CANADA CORP.",633
"EQIE","EQIE","EQUILEND LIMITED",634
"EQLD","EQLD","EQUILEND EUROPE LIMITED",635
"EQOC","EQOC","EQUOS SPOT",636
"EQOD","EQOD","EQUOS DERIVATIVES",637
"EQOS","EQOS","EQUOS",638
"EQSE","EQSE","EQUILEND LIMITED - SWAPS",639
"EQSL","EQSL","EQUILEND EUROPE LIMITED - SWAPS",640
"EQTA","EQTA","BOERSE BERLIN EQUIDUCT TRADING - REGULIERTER MARKT",641
"EQTB","EQTB","BOERSE BERLIN EQUIDUCT TRADING - BERLIN SECOND REGULATED MARKET",642
"EQTC","EQTC","BOERSE BERLIN EQUIDUCT TRADING - FREIVERKEHR",643
"EQTD","EQTD","BOERSE BERLIN EQUIDUCT TRADING - OTC",644
"EQUS","EQUS","EQUILEND LLC",645
"EQWB","EQWB","BX WORLDCAPS",646
"ERBX","ERBX","EUROBANK - SYSTEMATIC INTERNALISER",647
"ERFQ","ERFQ","BLOCKMATCH EUROPE RFQ",648
"ERIS","ERIS","ERSX",649
"ERST","ERST","ERSTE BEFEKTETESI ZRT - SYSTEMATIC INTERNALISER",650
"ESLO","ESLO","ENGNSOL",651
"ESPD","ESPD","NASDAQ OMX ESPEED",652
"ESTO","ESTO","NASDAQ STOCKHOLM AB - NORWAY ETF",653
"ETFP","ETFP","ELECTRONIC ETF, ETC/ETN AND OPEN-END FUNDS MARKET",654
"ETLX","ETLX","EUROTLX",655
"ETPA","ETPA","ENERGY TRADING PLATFORM AMSTERDAM",656
"ETSC","ETSC","ETS EURASIAN TRADING SYSTEM COMMODITY EXCHANGE",657
"EUAX","EUAX","ATHENS EXCHANGE EUAS MARKET",658
"EUCC","EUCC","CITADEL CONNECT EUROPE - EU - SYSTEMATIC INTERNALISER",659
"EUCH","EUCH","EUREX ZURICH",660
"EUFN","EUFN","EURO-FINANCE AD",661
"EUOB","EUOB","NASDAQ STOCKHOLM AB - OTC EUR WB EQ DERIVATIVES",662
"EURM","EURM","EUREX REPO MARKET",663
"EUSC","EUSC","EUREX CH SECLEND MARKET",664
"EUSP","EUSP","EUREX OTC SPOT MARKET",665
"EUWA","EUWA","EUWAX AG - SYSTEMATIC INTERNALISER",666
"EUWB","EUWB","NASDAQ STOCKHOLM AB - EUR WB EQ DERIVATIVES",667
"EUWX","EUWX","EUWAX",668
"EVOL","EVOL","EVOLUTION MARKETS",669
"EWRM","EWRM","TURKISH MERCANTILE EXCHANGE - ELECTRONIC WAREHOUSE RECEIPT MARKET",670
"EWSM","EWSM","EUROPEAN WHOLESALE SECURITIES MARKET",671
"EXAA","EXAA","WIENER BOERSE AG, AUSTRIAN ENERGY EXCHANGE",672
"EXBO","EXBO","EXANE BNP PARIBAS - BID-OFFER CROSSING",673
"EXCP","EXCP","EXANE BNP PARIBAS - CLOSING PRICE",674
"EXDC","EXDC","EXANE BNP PARIBAS - DIRECT CAPITAL ACCESS",675
"EXEU","EXEU","EXANE BNP PARIBAS",676
"EXGM","EXGM","EURONEXT GROWTH MILAN",677
"EXLP","EXLP","EXANE BNP PARIBAS - LIQUIDITY PROVISION",678
"EXMP","EXMP","EXANE BNP PARIBAS - MID POINT",679
"EXOR","EXOR","EXANE BNP PARIBAS - CHILD ORDER CROSSING",680
"EXOT","EXOT","EXOTIX CAPITAL  - OTF",681
"EXPA","EXPA","EXPANDI MARKET",682
"EXPM","EXPM","EXPERT MARKET",683
"EXSB","EXSB","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER CORPORATE BONDS",684
"EXSD","EXSD","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER OTC DERIVATIVES",685
"EXSE","EXSE","EXANE BNP PARIBAS - SYSTEMATIC INTERNALISER",686
"EXSF","EXSF","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER OTHER BONDS",687
"EXSH","EXSH","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER SHARES",688
"EXSI","EXSI","EXANE BNP PARIBAS - GB - SYSTEMATIC INTERNALISER",689
"EXSP","EXSP","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER STRUCTURED PRODUCTS",690
"EXSY","EXSY","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER",691
"EXTR","EXTR","ENERGY EXCHANGE ISTANBUL",692
"EXVP","EXVP","EXANE BNP PARIBAS - VOLUME PROFILE CROSSING",693
"EXYY","EXYY","EXANE DERIVATIVES - SYSTEMATIC INTERNALISER CONVERTIBLES",694
"FAIR","FAIR","CANTOR SPREADFAIR",695
"FAST","FAST","EURONEXT FX",696
"FBSI","FBSI","FINECO BANK - SYSTEMATIC INTERNALISER",697
"FCBT","FCBT","CHICAGO BOARD OF TRADE (FLOOR)",698
"FCME","FCME","CHICAGO MERCANTILE EXCHANGE (FLOOR)",699
"FGEX","FGEX","KAASUPORSSI - FINNISH GAS EXCHANGE",700
"FICO","FICO","FINANCIALCONTENT",701
"FICX","FICX","FINANCIAL INFORMATION CONTRIBUTORS EXCHANGE",702
"FIED","FIED","NASDAQ STOCKHOLM AB - FINNISH EQ DERIVATIVES",703
"FINC","FINC","FINRA/NASDAQ TRF CHICAGO (TRADE REPORTING FACILITY)",704
"FINN","FINN","FINRA/NASDAQ TRF CARTERET (TRADE REPORTING FACILITY)",705
"FINO","FINO","FINRA ORF (TRADE REPORTING FACILITY)",706
"FINR","FINR","FINRA",707
"FINY","FINY","FINRA/NYSE TRF (TRADE REPORTING FACILITY)",708
"FISH","FISH","FISH POOL ASA",709
"FISU","FISU","FREIGHT INVESTOR SERVICES LIMITED",710
"FLTB","FLTB","FLOW TRADERS B.V. - SYSTEMATIC INTERNALISER BONDS",711
"FLTR","FLTR","FLOW TRADERS - SYSTEMATIC INTERNALISER",712
"FLWX","FLWX","FLOW TRADERS",713
"FMTS","FMTS","MTS FRANCE SAS",714
"FNCS","FNCS","FENICS - US TREASURIES",715
"FNDK","FNDK","FIRST NORTH DENMARK",716
"FNEE","FNEE","FIRST NORTH ESTONIA",717
"FNFI","FNFI","FIRST NORTH FINLAND",718
"FNFT","FNFT","FENICS FUTURES",719
"FNFX","FNFX","FENICS FX ECN",720
"FNIS","FNIS","FIRST NORTH ICELAND",721
"FNIX","FNIX","GFI SECURITIES LLC - FENICS DELTA X",722
"FNLT","FNLT","FIRST NORTH LITHUANIA",723
"FNLV","FNLV","FIRST NORTH LATVIA",724
"FNSE","FNSE","FIRST NORTH SWEDEN",725
"FNUK","FNUK","FINANTIA UK LIMITED - SYSTEMATIC INTERNALISER",726
"FNXB","FNXB","FENICS INVITATIONS",727
"FPWB","FPWB","FIRSTPLACE WIENER BOERSE",728
"FRAA","FRAA","BOERSE FRANKFURT - REGULIERTER MARKT",729
"FRAB","FRAB","BOERSE FRANKFURT - FREIVERKEHR",730
"FRAD","FRAD","DEUTSCHE BOERSE MID-POINT CROSS",731
"FRAS","FRAS","BOERSE FRANKFURT - SCALE",732
"FRAU","FRAU","BOERSE FRANKFURT - REGULIERTERMARKT - OFF-BOOK",733
"FRAV","FRAV","BOERSE FRANKFURT - FREIVERKEHR - OFF-BOOK",734
"FRAW","FRAW","BOERSE FRANKFURT - SCALE - OFF-BOOK",735
"FREI","FREI","NASDAQ COMMODITIES - FREIGHT COMMODITY",736
"FREX","FREX","COINBASE DERIVATIVES",737
"FRRF","FRRF","FONDS DES RENTES / RENTENFONDS",738
"FRTE","FRTE","FORTE  - OTF",739
"FSEF","FSEF","FTSEF LLC",740
"FSHX","FSHX","FISHEX",741
"FSME","FSME","FIRST NORTH FINLAND - SME GROWTH MARKET",742
"FTFM","FTFM","42 FINANCIAL SERVICES - MTF",743
"FTFS","FTFS","42 FINANCIAL SERVICES",744
"FTUS","FTUS","FLOW TRADERS U.S LLC",745
"FUSD","FUSD","FTX US DERIVATIVES",746
"FXAL","FXAL","FXALL",747
"FXCL","FXCL","CLEARCORP DEALING SYSTEMS INDIA LIMITED - FX-CLEAR",748
"FXCM","FXCM","FXCM",749
"FXFM","FXFM","FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FORWARDS MATCHING",750
"FXGB","FXGB","FXCM - MTF",751
"FXMT","FXMT","FXMARKETSPACE LIMITED",752
"FXNM","FXNM","REFINITIV MATCHING NDFS SEF",753
"FXOP","FXOP","TRADITION-NEX OTF",754
"FXPS","FXPS","REFINITIV SEF REQUEST FOR STREAM",755
"FXRQ","FXRQ","FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFQ MTF",756
"FXRS","FXRS","FINANCIAL AND RISK TRANSACTIONS SERVICES IRELAND LIMITED - FXALL RFS MTF",757
"FXSM","FXSM","REFINITIV MATCHING NDFS SINGAPORE",758
"FXSW","FXSW","CLEARCORP DEALING SYSTEMS INDIA LIMITED - FX-SWAP",759
"G1XX","G1XX","G1 EXECUTION SERVICES",760
"GBOB","GBOB","NASDAQ STOCKHOLM AB - OTC GBP WB EQ DERIVATIVES",761
"GBOT","GBOT","BOURSE AFRICA LIMITED",762
"GBSI","GBSI","GOODBODY STOCKBROKERS UC",763
"GBUL","GBUL","BULGARIAN STOCK EXCHANGE - SME GROWTH MARKET BEAM",764
"GBWB","GBWB","NASDAQ STOCKHOLM AB - GBP WB EQ DERIVATIVES",765
"GEMX","GEMX","GEMMA (GILT EDGED MARKET MAKERS’ASSOCIATION)",766
"GETB","GETB","LITHUANIAN NATURAL GAS EXCHANGE",767
"GFAM","GFAM","GFI SECURITIES LLC - ALL MARKETS",768
