"ID","NAME","DESCRIPTION","IID"
"AUTB","AUTB","AUTILLA - BASE METALS",96
"AUTO","AUTO","AUTOBAHN FX",97
"AUTP","AUTP","AUTILLA - PRECIOUS METALS",98
"AUTX","AUTX","AUTILLA",99
"AWBX","AWBX","AUSTRALIAN WHEAT BOARD",100
"AWEX","AWEX","AUSTRALIAN WOOL EXCHANGE",101
"AXSI","AXSI","ALEXANDRIA PANKKIIRILIIKE OYJ - SYSTEMATIC INTERNALISER",102
"BAAD","BAAD","BAADER BANK - SYSTEMATIC INTERNALISER",103
"BACE","BACE","BOLSA DE CEREALES DE BUENOS AIRES",104
"BACR","BACR","BANK OF AMERICA SECURITIES - CENTRAL RISK",105
"BAEP","BAEP","BANK OF AMERICA MERRILL LYNCH EQUITY SWAP - EXTERNAL PRICE SOURCE",106
"BAIK","BAIK","BAIKAL",107
"BAIP","BAIP","BANK OF AMERICA MERRILL LYNCH EQUITY SWAP - INTERNAL PRICE SOURCE",108
"BAJD","BAJD","BANK OF AMERICA MERRILL LYNCH - JAPAN INSTINCT X",109
"BAJM","BAJM","BARBADOS STOCK EXCHANGE - JUNIOR MARKET",110
"BALT","BALT","THE BALTIC EXCHANGE",111
"BAML","BAML","BANK OF AMERICA - MERRILL LYNCH INSTINCT X ATS",112
"BAMP","BAMP","MERR POOL XLN",113
"BAMX","BAMX","BANK OF AMERICA - MERRILL LYNCH GCX",114
"BANA","BANA","BANK OF AMERICA, NATIONAL ASSOCIATION",115
"BAPA","BAPA","BLOOMBERG - APA",116
"BAPE","BAPE","BLOOMBERG DATA REPORTING SERVICES B.V. - APA",117
"BAPX","BAPX","BALTPOOL",118
"BARD","BARD","BARCLAYS FX - TRADING",119
"BARK","BARK","CBOE EUROPE - REGULATED MARKET DARK BOOK",120
"BARL","BARL","BARCLAYS LIQUID MARKETS",121
"BARO","BARO","CBOE EUROPE - REGULATED MARKET OFF BOOK",122
"BART","BART","CBOE EUROPE - REGULATED MARKET INTEGRATED BOOK",123
"BARU","BARU","CBOE EUROPE - REGULATED MARKET DARK BOOK (NL)",124
"BARX","BARX","BARCLAYS ATS",125
"BASE","BASE","BANK OF AMERICA MERRILL LYNCH - SWAP EXECUTIONS",126
"BASI","BASI","BANK OF AMERICA, NATIONAL ASSOCIATION - LONDON BRANCH OFFICE - SYSTEMATIC INTERNALISER",127
"BASP","BASP","BANK OF AMERICA SECURITIES EQUITY SWAP - SYNTHETIC PRICE SOURCE",128
"BASX","BASX","BANK OF AMERICA MERRILL LYNCH - SIMPLEX BLAST X",129
"BATD","BATD","CBOE EUROPE - BXE DARK ORDER BOOK",130
"BATE","BATE","CBOE EUROPE - BXE ORDER BOOKS",131
"BATF","BATF","CBOE EUROPE - BXE OFF-BOOK",132
"BATO","BATO","CBOE BZX OPTIONS EXCHANGE",133
"BATP","BATP","CBOE EUROPE - BXE PERIODIC",134
"BATS","BATS","CBOE BZX U.S. EQUITIES EXCHANGE",135
"BATY","BATY","CBOE BYX U.S. EQUITIES EXCHANGE",136
"BBIE","BBIE","BARCLAYS BANK IRELAND PLC",137
"BBIS","BBIS","BARCLAYS BANK IRELAND PLC - SYSTEMATIC INTERNALISER",138
"BBLX","BBLX","BONDBLOX EXCHANGE",139
"BBOK","BBOK","BARCLAYS SINGLE DEALER PLATFORM",140
"BBSF","BBSF","BLOOMBERG SEF LLC",141
"BBSI","BBSI","BARCLAYS BANK PLC - SYSTEMATIC INTERNALISER",142
"BBSX","BBSX","BB SECURITIES LTD",143
"BBVA","BBVA","BANCO BILBAO VIZCAYA ARGENTARIA S.A - SYSTEMATIC INTERNALISER",144
"BBVX","BBVX","BANCO BILBAO VIZCAYA ARGENTARIA S.A. - UK - SYSTEMATIC INTERNALISER",145
"BCDX","BCDX","BARCLAYS DIRECT EX ATS",146
"BCEE","BCEE","BANQUE ET CAISSE D'EPARGNE DE L'ETAT, LUXEMBOURG - BCEE - SYSTEMATIC INTERNALISER",147
"BCFS","BCFS","BOLSA DE COMERCIO DE SANTA FE",148
"BCMA","BCMA","BANCA MARCH S.A. - SYSTEMATIC INTERNALISER",149
"BCMM","BCMM","BOLSA DE CEREAIS E MERCADORIAS DE MARINGÁ",150
"BCRM","BCRM","CBOE EUROPE REGULATED MARKETS",151
"BCSC","BCSC","BROKERCREDITSERVICE (CYPRUS) LIMITED - SYSTEMATIC INTERNALISER",152
"BCSE","BCSE","BELARUS CURRENCY AND STOCK EXCHANGE",153
"BCSI","BCSI","BARCLAYS CAPITAL SECURITIES LIMITED - SYSTEMATIC INTERNALISER",154
"BCSL","BCSL","BARCLAYS CAPITAL SECURITIES LIMITED",155
"BCXE","BCXE","CBOE EUROPE EQUITIES",156
"BDEA","BDEA","BAYERNLB - IDEAL FX - SYSTEMATIC INTERNALISER",157
"BDSK","BDSK","DSK BANK EAD",158
"BEAM","BEAM","MTS ASSOCIATED MARKETS",159
"BEBG","BEBG","BULGARIAN ENERGY TRADING PLATFORM",160
"BEEX","BEEX","BOND ELECTRONIC EXCHANGE",161
"BEIS","BEIS","BANCA ETICA - SYSTEMATIC INTERNALISER",162
"BELB","BELB","BELFIUS BANK NV/SA",163
"BELF","BELF","BELFIUS BANK NV/SA FIXED INCOME - SYSTEMATIC INTERNALISER",164
"BERA","BERA","BOERSE BERLIN - REGULIERTER MARKT",165
"BERB","BERB","BOERSE BERLIN - FREIVERKEHR",166
"BERC","BERC","BOERSE BERLIN - BERLIN SECOND REGULATED MARKET",167
