"ID","NAME","DESCRIPTION","IID"
".","Reset","Reset value",0
"SIGHT","Sight deposits (καταθέσεις όψεως)","
            Sight deposits, as defined by Regulation
            ECB/2013/33, are convertible into currency and/or transferable on
            demand by cheque, banker's order, debit entry or similar means,
            without significant delay (maximum by close of business on the
            following business day), restriction or penalty.
            ",1
"AMAT","Deposits with agreed maturity (καταθέσεις προθεσμίας)","
             Deposits with agreed maturity (καταθέσεις προθεσμίας) are non-transferable deposits which
             cannot be withdrawn before an agreed fixed term, or that can be
             withdrawn only subject to a penalty.
             ",2
"ANOT","Deposits redeemable at notice (καταθέσεις με προειδοποίηση)","
             Deposits redeemable at notice are non-transferable deposits,
             usually with no agreed maturity, but which may be withdrawn
             without penalty only after a period of notice.
             ",3
